EAN_ID;Patrimonium Type;Patrimonium Functietype;Meetmethode;Richting
368;Andere;Kast;Continu;Afname
1532;Gebouw;Zwembad;Continu;Afname
1540;;;Continu;Afname
177;;;Continu;Afname
1550;Gebouw;Lagere school;Continu;Afname
768;Gebouw;OCMW Administratief centrum;Continu;Afname
770;Gebouw;Sporthal;Continu;Afname
772;;;Continu;Afname
377;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
1570;;;Continu;Afname
33;Gebouw;Lagere school;Continu;Afname
1579;;;Continu;Afname
783;;;Continu;Afname
1587;;;Continu;Afname
384;;;Continu;Afname
1595;;;Continu;Afname
791;Gebouw;Werkplaats;Continu;Afname
1603;;;Continu;Afname
84;Gebouw;Sporthal;Continu;Afname
1613;Gebouw;RVT/WZC/revalidatiecentrum;Continu;Afname
799;Gebouw;Academie;Continu;Afname
1619;;;Continu;Afname
187;Gebouw;Museum;Continu;Afname
805;;;Continu;Afname
1633;Gebouw;Cultureel centrum;Continu;Afname
1635;;;Continu;Afname
1641;;;Continu;Afname
1643;;;Continu;Afname
815;Gebouw;Museum;Continu;Afname
1651;Gebouw;Andere gebouwen;Continu;Afname
400;;;Continu;Afname
1659;;;Continu;Afname
192;Gebouw;Cultureel centrum;Continu;Afname
825;;;Continu;Afname
1673;Gebouw;Lagere school;Continu;Afname
829;;;Continu;Afname
831;Gebouw;Museum;Continu;Afname
1683;Gebouw;Algemene middelbare school;Continu;Afname
408;Gebouw;Bibliotheek;Continu;Afname
1693;;;Continu;Afname
1697;Gebouw;Lagere school;Continu;Afname
841;Gebouw;Jeugdhuis;Continu;Afname
90;;;Continu;Afname
1713;Gebouw;Brandweerkazerne;Continu;Afname
1715;;;Continu;Afname
199;Gebouw;Lagere school;Continu;Afname
1725;;;Continu;Afname
855;Gebouw;OCMW Administratief centrum;Continu;Afname
1731;Gebouw;Sportcomplex;Continu;Afname
201;Gebouw;OCMW Administratief centrum;Continu;Afname
364;Gebouw;Sportcomplex;Continu;Afname
1544;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
763;Gebouw;Werkplaats;Continu;Afname
396;Gebouw;Lagere school;Continu;Afname
1385;Gebouw;Lagere school;Continu;Afname
12;Gebouw;Sporthal;Continu;Afname
879;;;Continu;Afname
189;;;Continu;Afname
432;;;Continu;Afname
141;Gebouw;OCMW Administratief centrum;Continu;Afname
887;;;Continu;Afname
1064;Gebouw;Lagere school;Continu;Afname
1667;Gebouw;Lagere school;Continu;Afname
102;;;Continu;Afname
895;Gebouw;Sporthal;Continu;Afname
897;Gebouw;Werkplaats;Continu;Afname
444;Gebouw;Werkplaats;Continu;Afname
923;Gebouw;Academie;Continu;Afname
903;Gebouw;Sporthal;Continu;Afname
1671;Gebouw;Cultureel centrum;Continu;Afname
908;;;Continu;Afname
671;;;Continu;Afname
1351;Gebouw;Sporthal;Continu;Afname
378;Gebouw;Cultureel centrum;Continu;Afname
448;;;Continu;Afname
795;;;Continu;Afname
919;;;Continu;Afname
324;Gebouw;Administratief centrum;Continu;Afname
100;Gebouw;Bibliotheek;Continu;Afname
925;;;Continu;Afname
927;Gebouw;Buitengewoon middelbaar onderwijs (BUSO);Continu;Afname
899;;;Continu;Afname
1375;Gebouw;Sporthal;Continu;Afname
935;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
1381;Gebouw;Sporthal;Continu;Afname
14;;;Continu;Afname
940;;;Continu;Afname
133;Gebouw;Ontmoetingscentrum;Continu;Afname
673;;;Continu;Afname
1569;Gebouw;Brandweerkazerne;Continu;Afname
157;;;Continu;Afname
950;Gebouw;Administratief centrum;Continu;Afname
1341;Gebouw;Museum;Continu;Afname
1143;Gebouw;Bibliotheek;Continu;Afname
312;Gebouw;Kinderdagverblijf/BKO/IBO;Continu;Afname
958;Gebouw;Andere gebouwen;Continu;Afname
379;Gebouw;Dienstencentrum/CAW/dagverblijf;Continu;Afname
227;Gebouw;OCMW Administratief centrum;Continu;Afname
964;Gebouw;Academie;Continu;Afname
474;Gebouw;Werkplaats;Continu;Afname
968;;;Continu;Afname
593;;;Continu;Afname
971;Gebouw;Academie;Continu;Afname
478;;;Continu;Afname
975;;;Continu;Afname
231;Gebouw;Lagere school;Continu;Afname
482;;;Continu;Afname
983;Gebouw;Ontmoetingscentrum;Continu;Afname
108;Gebouw;Lagere school;Continu;Afname
987;Gebouw;Bibliotheek;Continu;Afname
991;Andere;Laadeiland;Continu;Afname
235;Gebouw;Werkplaats;Continu;Afname
995;Gebouw;Cultureel centrum;Continu;Afname
490;Gebouw;Dienstencentrum/CAW/dagverblijf;Continu;Afname
999;Gebouw;Cultureel centrum;Continu;Afname
1740;;;Continu;Afname
1639;Gebouw;Ontmoetingscentrum;Continu;Afname
1204;;;Continu;Afname
1191;Gebouw;Sporthal;Continu;Afname
1006;Gebouw;OCMW Administratief centrum;Continu;Afname
1010;Gebouw;Bibliotheek;Continu;Afname
1002;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
1014;;;Continu;Afname
497;;;Continu;Afname
1018;;;Continu;Afname
501;Gebouw;Sportcomplex;Continu;Afname
1022;;;Continu;Afname
493;Gebouw;Zwembad;Continu;Afname
1026;;;Continu;Afname
505;Gebouw;Sportcomplex;Continu;Afname
1030;Gebouw;Ontmoetingscentrum;Continu;Afname
242;Gebouw;OCMW Administratief centrum;Continu;Afname
1038;;;Continu;Afname
246;Gebouw;Museum;Continu;Afname
1042;Gebouw;Sportcomplex;Continu;Afname
1046;Gebouw;Zwembad;Continu;Afname
238;;;Continu;Afname
1050;Gebouw;Cultureel centrum;Continu;Afname
517;;;Continu;Afname
1054;Terrein;Voetbalveld;Continu;Afname
250;Gebouw;Kinderdagverblijf/BKO/IBO;Continu;Afname
1058;;;Continu;Afname
521;Gebouw;Dienstencentrum/CAW/dagverblijf;Continu;Afname
1062;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
115;Gebouw;Lagere school;Continu;Afname
1065;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
1069;Gebouw;Sporthal;Continu;Afname
254;Gebouw;Sporthal;Continu;Afname
1073;Gebouw;Sporthal;Continu;Afname
529;;;Continu;Afname
119;Gebouw;Lagere school;Continu;Afname
1081;Gebouw;Ontmoetingscentrum;Continu;Afname
1085;Gebouw;Museum;Continu;Afname
258;Gebouw;Ontmoetingscentrum;Continu;Afname
1089;Gebouw;Ontmoetingscentrum;Continu;Afname
1092;Gebouw;Lagere school;Continu;Afname
1093;Gebouw;OCMW Administratief centrum;Continu;Afname
111;;;Continu;Afname
1097;Gebouw;Lagere school;Continu;Afname
541;;;Continu;Afname
1101;Gebouw;Lagere school;Continu;Afname
122;;;Continu;Afname
1105;Gebouw;Administratief centrum;Continu;Afname
545;Gebouw;Administratief centrum;Continu;Afname
1109;Gebouw;Lagere school;Continu;Afname
123;Gebouw;Stadion;Continu;Afname
1113;Gebouw;Stadion;Continu;Afname
549;;;Continu;Afname
1117;Gebouw;Werkplaats;Continu;Afname
266;Andere;Kast;Continu;Afname
1121;Gebouw;Sportcomplex;Continu;Afname
553;;;Continu;Afname
1125;;;Continu;Afname
52;Gebouw;Lagere school;Continu;Afname
1129;Gebouw;Sportcomplex;Continu;Afname
269;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
270;Gebouw;Sporthal;Continu;Afname
1137;Gebouw;Sportcomplex;Continu;Afname
561;Gebouw;Academie;Continu;Afname
1141;Gebouw;Bibliotheek;Continu;Afname
127;Gebouw;Lagere school;Continu;Afname
1145;;;Continu;Afname
565;Gebouw;Kinderdagverblijf/BKO/IBO;Continu;Afname
1149;Gebouw;Lagere school;Continu;Afname
1152;;;Continu;Afname
1153;;;Continu;Afname
569;Gebouw;Academie;Continu;Afname
1157;Gebouw;Stadion;Continu;Afname
56;Gebouw;Ontmoetingscentrum;Continu;Afname
1161;Gebouw;Kinderdagverblijf/BKO/IBO;Continu;Afname
573;;;Continu;Afname
130;;;Continu;Afname
1169;;;Continu;Afname
577;;;Continu;Afname
1173;;;Continu;Afname
131;;;Continu;Afname
1177;;;Continu;Afname
581;;;Continu;Afname
1181;;;Continu;Afname
282;;;Continu;Afname
1185;Gebouw;Kerk;Continu;Afname
585;;;Continu;Afname
586;;;Continu;Afname
588;Gebouw;Academie;Continu;Afname
589;;;Continu;Afname
1197;Gebouw;Bibliotheek;Continu;Afname
286;;;Continu;Afname
592;;;Continu;Afname
287;Gebouw;Andere gebouwen;Continu;Afname
1208;Gebouw;Stadhuis/Gemeentehuis;Continu;Afname
59;Gebouw;Kerk;Continu;Afname
1211;;;Continu;Afname
1214;Gebouw;Administratief centrum;Continu;Afname
1215;Gebouw;Cultureel centrum;Continu;Afname
136;Gebouw;Jeugdhuis;Continu;Afname
1219;;;Continu;Afname
601;;;Continu;Afname
1223;;;Continu;Afname
60;;;Continu;Afname
1227;;;Continu;Afname
605;Gebouw;Andere gebouwen;Continu;Afname
1231;Gebouw;Sportcomplex;Continu;Afname
294;;;Continu;Afname
1235;Gebouw;Ontmoetingscentrum;Continu;Afname
1239;Andere;Pomp;Continu;Afname
139;;;Continu;Afname
1243;;;Continu;Afname
613;;;Continu;Afname
